KN,US,US,O,O,UN,UN,N,UN,O,O,O,O,XN,XN,US,US,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,US,UN,S,N,N,XN,N,N,O,XN,XN,XN,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,B,AS,UB,UN,B,B,N,US,B,US,UN,UN,UN,US,UN,UN,UN,US,UN,UN,UN,S,N,UAN,UAN,US,UB,XS,XS,O,UB,UB,B,O,UN,US,N,O
110,艺人面罩,零件,2,325,325,162,1,4.5,,,,,0,0,,打算进军演艺圈吗？,,,,,,,,,,,,,30,,,,,,,,,,,,,UI/DOTA-ITEM/127.png,4,,,,,2,2,1,20,69,162,4,4.5,0,0,0,0,0,0,0,0,0,0,0,0,30,,0,0,0,0,0,0,,,,0,0,,,,999,,,,Gold,,,,,,,,,,,,,,,,20;69;162;224;10007;10024;10058;10080,,,,Material,,,NO,NO,,零件,1901500110,,,
111,回复戒指,零件,2,350,350,175,1,4.8,,,,,0,0,,这么弱的戒指，一定是从可乐瓶上抠下来的,,,,,,,,,,,,80,,,,,,,,,,,,,,UI/DOTA-ITEM/126.png,4,,,,,2,2,1,7,88,143,4,2.4,0,0,0,0,0,0,0,0,0,0,0,40,0,,0,0,0,0,0,0,,,,0,0,,,,999,,,,Gold,,,,,,,,,,,,,,,,7;88;143;226;10003;10031;10051;10081,,,,Material,,,NO,NO,,零件,1901500111,,,
112,鞋,零件,2,450,450,225,1,13.5,,,,,0,0,,每个英雄都得穿鞋，美杜莎也不例外,5,5,5,,,,,,,,,,,,,,,,,,,,,,,UI/DOTA-ITEM/143.png,1,,,,,2,8,2,18,95,174,4,2.7,1,1,1,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,,0,0,,,,999,,,,Gold,,,,,,,,,,,,,,,,18;95;174;206;248;10006;10034;10062;10073;10089,,,,Material,,,NO,NO,,零件,1901500112,,,
113,攻击利爪,零件,2,450,450,225,1,5.4,,,,,0,0,,曾经有位鬼魅般的刺客佩带过它，后来他在挠痒痒的时候把自己杀死了,,,,,,9,,,,,,,,,,,,,,,,,,,,UI/DOTA-ITEM/113.png,4,,,,,2,10,2,55,69,98,4,2.4,0,0,0,0,0,4,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,,0,0,,,,999,,,,Gold,,,,,,,,,,,,,,,,55;69;98;174;216;10019;10024;10035;10062;10077,,,,Material,,,NO,NO,,零件,1901500113,,,
114,智力挂件卷轴,卷轴,1,135,135,67,1,0,,,,,0,0,可以合成智力挂件,,,,,,,,,,,,,,,,,,,,,,,,,,,UI/DOTA-ITEM/248+.png,6,,,,,9,9,0,30,76,146,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,,0,0,,,,999,,,,Gold,,,,,,,,,,,,,,,,30;76;146;221;10010;10027;10052;10079,,,,Scroll,,,NO,NO,,卷轴,1701500114,,,
115,敏捷系带卷轴,卷轴,1,150,150,75,1,0,,,,,0,0,可以合成敏捷系带,,,,,,,,,,,,,,,,,,,,,,,,,,,UI/DOTA-ITEM/247+.png,6,,,,,9,9,0,33,69,170,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,,0,0,,,,999,,,,Gold,,,,,,,,,,,,,,,,33;69;170;226;265;10011;10024;10061;10081;10095,,,,Scroll,,,NO,NO,,卷轴,1701500115,,,
116,力量护腕卷轴,卷轴,1,190,190,95,1,0,,,,,0,0,可以合成力量护腕,,,,,,,,,,,,,,,,,,,,,,,,,,,UI/DOTA-ITEM/246+.png,6,,,,,9,9,0,23,85,190,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,,0,0,,,,999,,,,Gold,,,,,,,,,,,,,,,,23;85;190;212;251;10008;10030;10068;10075;10091,,,,Scroll,,,NO,NO,,卷轴,1701500116,,,
117,回复之巾卷轴,卷轴,1,200,200,100,1,0,,,,,0,0,可以合成回复之巾,,,,,,,,,,,,,,,,,,,,,,,,,,,UI/DOTA-ITEM/241+.png,6,,,,,10,10,0,39,94,212,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,,0,0,,,,999,,,,Gold,,,,,,,,,,,,,,,,39;94;212;218;10013;10033;10075;10078,,,,Scroll,,,NO,NO,,卷轴,1701500117,,,
118,智力挂件,合成品,3,470,470,235,1,12.6,智力挂件卷轴,智力之篷,贵族头环,0,0,0,,考场违禁物品,3,6,3,,,3,,,,,,,,,,,,,,,,,,,,UI/DOTA-ITEM/248.png,4,,,,,2,9,2,,,,6,3.3,1,1,1,0,0,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,,0,0,,,,999,,,,Gold,,,,,,,,,,,,,,,,,,,,Assembled,,,NO,NO,,合成品,1901500118,,,
119,敏捷系带,合成品,3,485,485,242,1,12.6,敏捷系带卷轴,敏捷丝袜,贵族头环,0,0,0,,这货真的不是电棍,3,3,6,,,3,,,,,,,,,,,,,,,,,,,,UI/DOTA-ITEM/247.png,4,,,,,2,9,2,,,,6,3.3,1,1,1,0,0,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,,0,0,,,,999,,,,Gold,,,,,,,,,,,,,,,,,,,,Assembled,,,NO,NO,,合成品,1901500119,,,
120,圣殿指环,合成品,3,500,500,250,1,8.5,防御指环,艺人面罩,0,0,0,0,,,,,,,,,,2,,,,,30,,,,,,,,,,,,,UI/DOTA-ITEM/240.png,4,,,,,2,9,2,10009,,,6,5,0,0,0,0,0,0,0,1,0,0,0,0,20,,0,0,0,0,0,0,,,,0,0,,,,999,,,,Gold,,,,,,,,,,,,,,,,10009,,,,Assembled,,,NO,NO,,合成品,1901500120,,,
121,力量护腕,合成品,3,525,525,262,1,12.6,力量护腕卷轴,力量拳套,贵族头环,0,0,0,,,6,3,3,,,3,,,,,,,,,,,,,,,,,,,,UI/DOTA-ITEM/246.png,4,,,,,2,9,2,10001,,,6,3.3,1,1,1,0,0,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,,0,0,,,,999,,,,Gold,,,,,,,,,,,,,,,,10001,,,,Assembled,,,NO,NO,,合成品,1901500121,,,
122,屌丝盾,合成品,3,550,550,275,1,11.4,小圆盾,敏捷丝袜,敏捷丝袜,0,0,0,,屌丝终有逆袭日加油！,,,6,,,,,3,,,,,,,,,,,,,,,,,,UI/DOTA-ITEM/245.png,3,,,,,2,10,2,10035,,,6,3.8,0,0,2,0,0,0,0,1,0,0,0,0,0,,0,0,0,0,0,0,,,,0,0,,,,999,,,,Gold,,,,,,,,,,,,,,,,10035,,,,Assembled,,,NO,NO,,合成品,1901500122,,,
123,回复之巾,合成品,3.5,603,603,301,1,12.6,回复之巾卷轴,回复戒指,树枝,0,0,0,,,2,2,2,,,,,,,,,120,,,,,,,,,,,,,,UI/DOTA-ITEM/241.png,4,,,,,2,10,2,,,,7,3.9,1,1,1,0,0,0,0,0,0,0,0,20,0,,0,0,0,0,0,0,,,,0,0,,,,999,,,,Gold,,,,,,,,,,,,,,,,,,,,Assembled,,,NO,NO,,合成品,1901500123,,,
124,灵魂石(船长),灵魂石,3,,20000,4000,3,,,,,,0,0,收集10个灵魂石，可以召唤英雄船长。同时也是船长进化的必备材料。,,,,,,,,,,,,,,,,,,,,,,,,,,,UI/DOTA-HERO/Coco.png,7,,,,,1,1,0,10014,10084,10098,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,,0,0,,百货小店购买,,999,,,,Gold,,,,,,,,,,,,,,,,10014;10084;10098,,,,Soul,,,NO,NO,,灵魂石,1603500124,,,
125,灵魂石(小黑),灵魂石,3,,20000,4000,3,,,,,,0,0,收集10个灵魂石，可以召唤英雄小黑。同时也是小黑进化的必备材料。,,,,,,,,,,,,,,,,,,,,,,,,,,,UI/DOTA-HERO/DR.png,7,,,,,1,1,0,10008,10050,10083,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,,0,0,,百货小店购买;勇者之书1获取,,999,,,,Gold,,,,,,,,,,,,,,,,10008;10050;10083,,,,Soul,,,NO,NO,,灵魂石,1603500125,,,
126,灵魂石(火女),灵魂石,3,,20000,4000,3,,,,,,0,0,收集10个灵魂石，可以召唤英雄火女。同时也是火女进化的必备材料。,,,,,,,,,,,,,,,,,,,,,,,,,,,UI/DOTA-HERO/Lina.png,7,,,,,1,1,0,10010,10027,10078,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,,0,0,,百货小店购买,,999,,,,Gold,,,,,,,,,,,,,,,,10010;10027;10078,,,,Soul,,,NO,NO,,灵魂石,1603500126,,,
127,灵魂石(宙斯),灵魂石,3,,20000,4000,3,,,,,,0,0,收集10个灵魂石，可以召唤英雄宙斯。同时也是宙斯进化的必备材料。,,,,,,,,,,,,,,,,,,,,,,,,,,,UI/DOTA-HERO/Zeus.png,7,,,,,1,1,0,10003,10080,10102,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,,0,0,,百货小店购买,,999,,,,Gold,,,,,,,,,,,,,,,,10003;10080;10102,,,,Soul,,,NO,NO,,灵魂石,1603500127,,,
128,灵魂石(电魂),灵魂石,3,,20000,4000,3,,,,,,0,0,收集80个灵魂石，可以召唤英雄电魂。同时也是电魂进化的必备材料。,,,,,,,,,,,,,,,,,,,,,,,,,,,UI/DOTA-HERO/Razor.png,7,,,,,1,1,0,10011,10023,10092,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,,0,0,,百货小店购买,,999,,,,Gold,,,,,,,,,,,,,,,,10011;10023;10092,,,,Soul,,,NO,NO,,灵魂石,1603500128,,,
129,灵魂石(恶魔巫师),灵魂石,3,,20000,4000,3,,,,,,0,0,收集30个灵魂石，可以召唤英雄恶魔巫师。同时也是恶魔巫师进化的必备材料。,,,,,,,,,,,,,,,,,,,,,,,,,,,UI/DOTA-HERO/Lion.png,9,,,,,1,1,0,10034,10044,10108,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,,0,0,,百货小店购买,,999,,,,Gold,,,,,,,,,,,,,,,,10034;10044;10108,,,,Soul,,,NO,NO,,灵魂石,1603500129,,,
130,灵魂石(痛苦女王),灵魂石,3,,20000,4000,3,,,,,,0,0,收集80个灵魂石，可以召唤英雄痛苦女王。同时也是痛苦女王进化的必备材料。,,,,,,,,,,,,,,,,,,,,,,,,,,,UI/DOTA-HERO/QOP.png,9,,,,,1,1,0,10031,10058,10064,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,,0,0,,百货小店购买,,999,,,,Gold,,,,,,,,,,,,,,,,10031;10058;10064,,,,Soul,,,NO,NO,,灵魂石,1603500130,,,
131,灵魂石(全能骑士),灵魂石,3,,20000,4000,3,,,,,,0,0,收集10个灵魂石，可以召唤英雄全能骑士。同时也是全能骑士进化的必备材料。,,,,,,,,,,,,,,,,,,,,,,,,,,,UI/DOTA-HERO/OK.png,9,,,,,1,1,0,10004,10017,10033,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,,0,0,,百货小店购买,,999,,,,Gold,,,,,,,,,,,,,,,,10004;10017;10033;10051,,,,Soul,,,NO,NO,,灵魂石,1603500131,,,
132,灵魂石(修补匠),灵魂石,3,,20000,4000,3,,,,,,0,0,收集10个灵魂石，可以召唤英雄修补匠。同时也是修补匠进化的必备材料。,,,,,,,,,,,,,,,,,,,,,,,,,,,UI/DOTA-HERO/TK.png,8,,,,,1,1,0,10002,10073,10077,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,,0,0,,百货小店购买,,999,,,,Gold,,,,,,,,,,,,,,,,10002;10073;10077,,,,Soul,,,NO,NO,,灵魂石,1603500132,,,
133,灵魂石(火枪),灵魂石,3,,20000,4000,3,,,,,,0,0,收集10个灵魂石，可以召唤英雄火枪。同时也是火枪进化的必备材料。,,,,,,,,,,,,,,,,,,,,,,,,,,,UI/DOTA-HERO/Sniper.png,7,,,,,1,1,0,10009,10037,10069,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,,0,0,,百货小店购买,,999,,,,Gold,,,,,,,,,,,,,,,,10009;10037;10069,,,,Soul,,,NO,NO,,灵魂石,1603500133,,,
134,灵魂石(风行),灵魂石,3,,20000,4000,3,,,,,,0,0,收集80个灵魂石，可以召唤英雄风行。同时也是风行进化的必备材料。,,,,,,,,,,,,,,,,,,,,,,,,,,,UI/DOTA-HERO/WR.png,7,,,,,1,1,0,10024,10028,10104,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,,0,0,,百货小店购买,,999,,,,Gold,,,,,,,,,,,,,,,,10024;10028;10104,,,,Soul,,,NO,NO,,灵魂石,1603500134,,,
135,灵魂石(冰女),灵魂石,3,,20000,4000,3,,,,,,0,0,收集30个灵魂石，可以召唤英雄冰女。同时也是冰女进化的必备材料。,,,,,,,,,,,,,,,,,,,,,,,,,,,UI/DOTA-HERO/CM.png,7,,,,,1,1,0,10012,10016,10088,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,,0,0,,百货小店购买,,999,,,,Gold,,,,,,,,,,,,,,,,10012;10016;10088,,,,Soul,,,NO,NO,,灵魂石,1603500135,,,
136,灵魂石(小娜迦),灵魂石,3,,20000,4000,3,,,,,,0,0,收集30个灵魂石，可以召唤英雄小娜迦。同时也是小娜迦进化的必备材料。,,,,,,,,,,,,,,,,,,,,,,,,,,,UI/DOTA-HERO/Naga.png,8,,,,,1,1,0,10020,10067,10103,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,,0,0,,百货小店购买,,999,,,,Gold,,,,,,,,,,,,,,,,10020;10067;10103,,,,Soul,,,NO,NO,,灵魂石,1603500136,,,
137,灵魂石(大鱼人),灵魂石,3,,20000,4000,3,,,,,,0,0,收集30个灵魂石，可以召唤英雄大鱼人。同时也是大鱼人进化的必备材料。,,,,,,,,,,,,,,,,,,,,,,,,,,,UI/DOTA-HERO/SG.png,8,,,,,1,1,0,10015,10021,10054,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,,0,0,,百货小店购买,,999,,,,Gold,,,,,,,,,,,,,,,,10015;10021;10054,,,,Soul,,,NO,NO,,灵魂石,1603500137,,,
138,灵魂石(潮汐),灵魂石,3,,20000,4000,3,,,,,,0,0,收集10个灵魂石，可以召唤英雄潮汐。同时也是潮汐进化的必备材料。,,,,,,,,,,,,,,,,,,,,,,,,,,,UI/DOTA-HERO/TH.png,7,,,,,1,1,0,10018,10026,10055,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,,0,0,,百货小店购买,,999,,,,Gold,,,,,,,,,,,,,,,,10018;10026;10055,,,,Soul,,,NO,NO,,灵魂石,1603500138,,,
139,灵魂石(美杜莎),灵魂石,3,,20000,4000,3,,,,,,0,0,收集80个灵魂石，可以召唤英雄美杜莎。同时也是美杜莎进化的必备材料。,,,,,,,,,,,,,,,,,,,,,,,,,,,UI/DOTA-HERO/Med.png,8,,,,,1,1,0,10019,10036,10081,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,,0,0,,百货小店购买,,999,,,,Gold,,,,,,,,,,,,,,,,10019;10036;10081,,,,Soul,,,NO,NO,,灵魂石,1603500139,,,
140,灵魂石(骨弓),灵魂石,3,,20000,4000,3,,,,,,0,0,收集80个灵魂石，可以召唤英雄骨弓。同时也是骨弓进化的必备材料。,,,,,,,,,,,,,,,,,,,,,,,,,,,UI/DOTA-HERO/Bone.png,7,,,,,1,1,0,10029,10043,10053,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,,0,0,,百货小店购买,,999,,,,Gold,,,,,,,,,,,,,,,,10029;10043;10053,,,,Soul,,,NO,NO,,灵魂石,1603500140,,,
141,灵魂石(骨法),灵魂石,3,,20000,4000,3,,,,,,0,0,收集30个灵魂石，可以召唤英雄骨法。同时也是骨法进化的必备材料。,,,,,,,,,,,,,,,,,,,,,,,,,,,UI/DOTA-HERO/Pugna.png,7,,,,,1,1,0,10030,10048,10109,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,,0,0,,百货小店购买,,999,,,,Gold,,,,,,,,,,,,,,,,10030;10048;10109,,,,Soul,,,NO,NO,,灵魂石,1603500141,,,
142,灵魂石(骨王),灵魂石,3,,20000,4000,3,,,,,,0,0,收集30个灵魂石，可以召唤英雄骨王。同时也是骨王进化的必备材料。,,,,,,,,,,,,,,,,,,,,,,,,,,,UI/DOTA-HERO/SNK.png,7,,,,,1,1,0,10005,10025,10046,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,,0,0,,百货小店购买,,999,,,,Gold,,,,,,,,,,,,,,,,10005;10025;10046,,,,Soul,,,NO,NO,,灵魂石,1603500142,,,
143,灵魂石(死灵法师),灵魂石,3,,20000,4000,3,,,,,,0,0,收集80个灵魂石，可以召唤英雄死灵法师。同时也是死灵法师进化的必备材料。,,,,,,,,,,,,,,,,,,,,,,,,,,,UI/DOTA-HERO/NEC.png,9,,,,,1,1,0,10006,10047,10086,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,,0,0,,百货小店购买,,999,,,,Gold,,,,,,,,,,,,,,,,10006;10047;10086,,,,Soul,,,NO,NO,,灵魂石,1603500143,,,
144,灵魂石(黑鸟),灵魂石,3,,20000,4000,3,,,,,,0,0,收集80个灵魂石，可以召唤英雄黑鸟。同时也是黑鸟进化的必备材料。,,,,,,,,,,,,,,,,,,,,,,,,,,,UI/DOTA-HERO/OD.png,7,,,,,1,1,0,10039,10052,10106,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,,0,0,,百货小店购买,,999,,,,Gold,,,,,,,,,,,,,,,,10039;10052;10106,,,,Soul,,,NO,NO,,灵魂石,1603500144,,,
145,灵魂石(暗牧),灵魂石,3,,20000,4000,3,,,,,,0,0,收集30个灵魂石，可以召唤英雄暗牧。同时也是暗牧进化的必备材料。,,,,,,,,,,,,,,,,,,,,,,,,,,,UI/DOTA-HERO/SP.png,7,,,,,1,1,0,10013,10041,10100,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,,0,0,,百货小店购买,,999,,,,Gold,,,,,,,,,,,,,,,,10013;10041;10100,,,,Soul,,,NO,NO,,灵魂石,1603500145,,,
146,灵魂石(拍拍熊),灵魂石,3,,20000,4000,3,,,,,,0,0,收集80个灵魂石，可以召唤英雄拍拍熊。同时也是拍拍熊进化的必备材料。,,,,,,,,,,,,,,,,,,,,,,,,,,,UI/DOTA-HERO/Ursa.png,8,,,,,1,1,0,10035,10057,10060,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,,0,0,,百货小店购买,,999,,,,Gold,,,,,,,,,,,,,,,,10035;10057;10060,,,,Soul,,,NO,NO,,灵魂石,1603500146,,,
147,灵魂石(蓝胖),灵魂石,3,,20000,4000,3,,,,,,0,0,收集10个灵魂石，可以召唤英雄蓝胖。同时也是蓝胖进化的必备材料。,,,,,,,,,,,,,,,,,,,,,,,,,,,UI/DOTA-HERO/OM.png,7,,,,,1,1,0,10070,10082,10101,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,,0,0,,百货小店购买,,999,,,,Gold,,,,,,,,,,,,,,,,10070;10082;10101,,,,Soul,,,NO,NO,,灵魂石,1603500147,,,
148,灵魂石(影魔),灵魂石,3,,20000,4000,3,,,,,,0,0,收集30个灵魂石，可以召唤英雄影魔。同时也是影魔进化的必备材料。,,,,,,,,,,,,,,,,,,,,,,,,,,,UI/DOTA-HERO/SF.png,7,,,,,1,1,0,,,,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,,0,0,,可从竞技场军需商店兑换获得;百货小店购买,,999,,,,Gold,,,,,,,,,,,,,,,,,,,,Soul,,,NO,NO,,灵魂石,1603500148,,,
149,灵魂石(沉默),灵魂石,3,,20000,4000,3,,,,,,0,0,收集30个灵魂石，可以召唤英雄沉默。同时也是沉默进化的必备材料。,,,,,,,,,,,,,,,,,,,,,,,,,,,UI/DOTA-HERO/Sil.png,7,,,,,1,1,0,10032,10079,10089,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,,0,0,,百货小店购买,,999,,,,Gold,,,,,,,,,,,,,,,,10032;10079;10089,,,,Soul,,,NO,NO,,灵魂石,1603500149,,,
150,灵魂石(剑圣),灵魂石,3,,20000,4000,3,,,,,,0,0,收集80个灵魂石，可以召唤英雄剑圣。同时也是剑圣进化的必备材料。,,,,,,,,,,,,,,,,,,,,,,,,,,,UI/DOTA-HERO/JUGG.png,7,,,,,1,1,0,,,,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,,0,0,,可从传奇竞技场商店兑换获得,,999,,,,Gold,,,,,,,,,,,,,,,,,,,,Soul,,,NO,NO,,灵魂石,1603500150,,,
